CODIGO BIP,NOMBRE INICIATIVA,REGION,COMUNA,ETAPA POSTULA,COSTO TOTAL M$,AÑO POSTULACION,RATE,FECHA RATE,SECTOR,MAGNITUD,MAGNITUD VALOR,FUENTE FINANCIERA
40071742-0,"MEJORAMIENTO TERMINAL DE BUSES, PERQUENCO",REGION DE LA ARAUCANIA,PERQUENCO,EJECUCION,173881,2026,,,TRANSPORTE,METROS CUADRADOS,243,FNDR
40070768-0,"CONSTRUCCION SEDE SOCIAL PELAHUENCO GRANDE, COMUNA DE GALVARINO",REGION DE LA ARAUCANIA,GALVARINO,EJECUCION,158853,2026,,,MULTISECTORIAL,METROS CUADRADOS,142,FNDR
30461075-0,MEJORAMIENTO RUTA S-61 SECTOR: MELIPEUCO - ICALMA - PASO ICALMA,REGION DE LA ARAUCANIA,,EJECUCION,10255626,2026,RS,2025-12-22,TRANSPORTE,KILÓMETROS,25,SECT
40067788-0,"MEJORAMIENTO CAMINO LAUTARO TEMUCO, TRAMO KM 6.61 AL KM 17.34",REGION DE LA ARAUCANIA,,EJECUCION,8495973,2026,RE,2025-11-26,TRANSPORTE,KILÓMETROS,11,SECT
40026213-0,"CONSTRUCCION INFRAESTRUCTURAS SANITARIAS LLANGUI, SAAVEDRA",REGION DE LA ARAUCANIA,SAAVEDRA,EJECUCION,348595,2026,FI,,VIVIENDA Y DESARROLLO URBANO,UNIDAD,23,FNDR
40024540-0,"MEJORAMIENTO BARRIO ALTO CARAHUE 1, COMUNA DE CARAHUE",REGION DE LA ARAUCANIA,CARAHUE,EJECUCION,467629,2026,RS,2025-12-18,VIVIENDA Y DESARROLLO URBANO,METROS CUADRADOS,2996,SECT
40006156-0,REPOSICION POSTA DE SALUD RURAL LIUMALLA COMUNA DE VILLARRICA,REGION DE LA ARAUCANIA,,EJECUCION,1474098,2026,,,SALUD,METROS CUADRADOS,300,FNDR
40023710-0,"REPOSICION SEDE SOCIAL LA ESMERALDA PAILAHUEQUE, COMUNA DE ERCILLA",REGION DE LA ARAUCANIA,ERCILLA,EJECUCION,162795,2026,,,MULTISECTORIAL,METROS CUADRADOS,112,FNDR
40039772-0,"CONSTRUCCION PAVIMENTOS PARTICIPATIVOS,32 PROCESO, REGIÓN ARAUCANÍA",REGION DE LA ARAUCANIA,,EJECUCION,9992269,2026,RS,2025-12-04,TRANSPORTE,KILÓMETROS,12,SECT
40048296-0,"MEJORAMIENTO BARRIO EL ESFUERZO, COMUNA DE PUREN",REGION DE LA ARAUCANIA,PUREN,EJECUCION,611491,2026,RS,2025-12-05,VIVIENDA Y DESARROLLO URBANO,METROS CUADRADOS,2000,SECT
40072338-0,"ADQUISICION DE COSECHADORA DE ALGAS, COMUNA DE NUEVA IMPERIAL",REGION DE LA ARAUCANIA,NUEVA IMPERIAL,EJECUCION,251631,2026,,,RECURSOS NATURALES Y MEDIO AMBIENTE,UNIDAD,1,FNDR
40072723-0,"CONSERVACION CAMINO CAYUL, COMUNA DE PERQUENCO",REGION DE LA ARAUCANIA,PERQUENCO,EJECUCION,59579,2026,,,TRANSPORTE,METROS,1245,FNDR
40062583-0,"REPOSICION Y ADQUISICIÓN DE  BUSES PARA TRANSPORTE ESCOLAR, VILCUN",REGION DE LA ARAUCANIA,VILCUN,EJECUCION,1281496,2026,,,EDUCACIÓN,UNIDAD,6,FNDR
40049358-0,CONSERVACION HOSPITAL TRAIGUÉN REGION DE LA ARAUCANÍA,REGION DE LA ARAUCANIA,TRAIGUEN,EJECUCION,2447701,2026,AD,2026-01-15,SALUD,METROS CUADRADOS,6298,SECT
40068634-0,CONSTRUCCION VARADERO Y OBRAS COMPLEMENTARIAS CALETA QUEULE,REGION DE LA ARAUCANIA,TOLTEN,EJECUCION,3760053,2026,,,PESCA,METROS CUADRADOS,1000,SECT
40063364-0,"CONSERVACION RED VIAL PROVINCIAS DE MALLECO Y CAUTIN, ZONAS URBANAS GLOSA 5 2024-2025",REGION DE LA ARAUCANIA,,EJECUCION,357518,2026,,,TRANSPORTE,METROS,1242,SECT
40070704-0,"REPOSICION MULTICANCHA SECTOR NAHUELBUTA, COMUNA DE ANGOL",REGION DE LA ARAUCANIA,ANGOL,EJECUCION,91423,2026,,,DEPORTES,METROS CUADRADOS,805,FNDR
