COMUNA_ORIGINAL,COMUNA_NORMALIZADA
"Aisén","AISEN"
"Algarrobo","ALGARROBO"
"Alhué","ALHUE"
"Alto Biobío","ALTO BIOBIO"
"Alto del Carmen","ALTO DEL CARMEN"
"Alto Hospicio","ALTO HOSPICIO"
"Ancud","ANCUD"
"Andacollo","ANDACOLLO"
"Angol","ANGOL"
"Antofagasta","ANTOFAGASTA"
"Antuco","ANTUCO"
"Arauco","ARAUCO"
"Arica","ARICA"
"Buin","BUIN"
"Bulnes","BULNES"
"Cabildo","CABILDO"
"Cabo de Hornos","CABO DE HORNOS"
"Cabrero","CABRERO"
"Calama","CALAMA"
"Calbuco","CALBUCO"
"Caldera","CALDERA"
"Calera","CALERA"
"Calera de Tango","CALERA DE TANGO"
"Calle Larga","CALLE LARGA"
"Camarones","CAMARONES"
"Camiña","CAMINA"
"Canela","CANELA"
"Cañete","CANETE"
"Carahue","CARAHUE"
"Cartagena","CARTAGENA"
"Casablanca","CASABLANCA"
"Castro","CASTRO"
"Catemu","CATEMU"
"Cauquenes","CAUQUENES"
"Cerrillos","CERRILLOS"
"Cerro Navia","CERRO NAVIA"
"Chaitén","CHAITEN"
"Chañaral","CHANARAL"
"Chanco","CHANCO"
"Chépica","CHEPICA"
"Chiguayante","CHIGUAYANTE"
"Chile Chico","CHILE CHICO"
"Chillán","CHILLAN"
"Chillán Viejo","CHILLAN VIEJO"
"Chimbarongo","CHIMBARONGO"
"Cholchol","CHOL CHOL"
"Chonchi","CHONCHI"
"Cisnes","CISNES"
"Cobquecura","COBQUECURA"
"Cochamó","COCHAMO"
"Cochrane","COCHRANE"
"Codegua","CODEGUA"
"Coelemu","COELEMU"
"Coihaique","COIHAIQUE"
"Coihueco","COIHUECO"
"Coinco","COINCO"
"Colbún","COLBUN"
"Colchane","COLCHANE"
"Colina","COLINA"
"Collipulli","COLLIPULLI"
"Coltauco","COLTAUCO"
"Combarbalá","COMBARBALA"
"Concepción","CONCEPCION"
"Conchalí","CONCHALI"
"Concón","CONCON"
"Constitución","CONSTITUCION"
"Contulmo","CONTULMO"
"Copiapó","COPIAPO"
"Coquimbo","COQUIMBO"
"Coronel","CORONEL"
"Corral","CORRAL"
"Cunco","CUNCO"
"Curacautín","CURACAUTIN"
"Curacaví","CURACAVI"
"Curaco de Vélez","CURACO DE VELEZ"
"Curanilahue","CURANILAHUE"
"Curarrehue","CURARREHUE"
"Curepto","CUREPTO"
"Curicó","CURICO"
"Dalcahue","DALCAHUE"
"Diego de Almagro","DIEGO DE ALMAGRO"
"Doñihue","DONIHUE"
"El Bosque","EL BOSQUE"
"El Carmen","EL CARMEN"
"El Monte","EL MONTE"
"El Quisco","EL QUISCO"
"El Tabo","EL TABO"
"Empedrado","EMPEDRADO"
"Ercilla","ERCILLA"
"Estación Central","ESTACION CENTRAL"
"Florida","FLORIDA"
"Freire","FREIRE"
"Freirina","FREIRINA"
"Fresia","FRESIA"
"Frutillar","FRUTILLAR"
"Futaleufú","FUTALEUFU"
"Futrono","FUTRONO"
"Galvarino","GALVARINO"
"General Lagos","GENERAL LAGOS"
"Gorbea","GORBEA"
"Graneros","GRANEROS"
"Guaitecas","GUAITECAS"
"Hijuelas","HIJUELAS"
"Hualaihué","HUALAIHUE"
"Hualañé","HUALANE"
"Hualpén","HUALPEN"
"Hualqui","HUALQUI"
"Huara","HUARA"
"Huasco","HUASCO"
"Huechuraba","HUECHURABA"
"Illapel","ILLAPEL"
"Independencia","INDEPENDENCIA"
"Iquique","IQUIQUE"
"Isla de Maipo","ISLA DE MAIPO"
"Isla de Pascua","ISLA DE PASCUA"
"Juan Fernández","JUAN FERNANDEZ"
"La Cisterna","LA CISTERNA"
"La Cruz","LA CRUZ"
"La Estrella","LA ESTRELLA"
"La Florida","LA FLORIDA"
"La Granja","LA GRANJA"
"La Higuera","LA HIGUERA"
"La Ligua","LA LIGUA"
"La Pintana","LA PINTANA"
"La Reina","LA REINA"
"La Serena","LA SERENA"
"La Unión","LA UNION"
"Lago Ranco","LAGO RANCO"
"Lago Verde","LAGO VERDE"
"Laguna Blanca","LAGUNA BLANCA"
"Laja","LAJA"
"Lampa","LAMPA"
"Lanco","LANCO"
"Las Cabras","LAS CABRAS"
"Las Condes","LAS CONDES"
"Lautaro","LAUTARO"
"Lebu","LEBU"
"Licantén","LICANTEN"
"Limache","LIMACHE"
"Linares","LINARES"
"Litueche","LITUECHE"
"Llaillay","LLAILLAY"
"Llanquihue","LLANQUIHUE"
"Lo Barnechea","LO BARNECHEA"
"Lo Espejo","LO ESPEJO"
"Lo Prado","LO PRADO"
"Lolol","LOLOL"
"Loncoche","LONCOCHE"
"Longaví","LONGAVI"
"Lonquimay","LONQUIMAY"
"Los Alamos","LOS ALAMOS"
"Los Andes","LOS ANDES"
"Los Angeles","LOS ANGELES"
"Los Lagos","LOS LAGOS"
"Los Muermos","LOS MUERMOS"
"Los Sauces","LOS SAUCES"
"Los Vilos","LOS VILOS"
"Lota","LOTA"
"Lumaco","LUMACO"
"Machalí","MACHALI"
