CODIGO_BIP,RATE,FECHA_DETECCION
30461075,RS,2026-09-16
40067788,RE,2026-09-16
40026213,FI,2026-09-16
40024540,RS,2026-09-16
40039772,RS,2026-09-16
40048296,RS,2026-09-16
40049358,AD,2026-09-16
30080556,FI,2026-09-16
40023943,OT,2026-09-16
40002036,RS,2026-09-16
40053490,RS,2026-09-16
30460172,RS,2026-09-16
30231672,RS,2026-09-16
40020211,RS,2026-09-16
40049870,RS,2026-09-16
40029327,FI,2026-09-16
40019783,RS,2026-09-16
40000938,RS,2026-09-16
40000938,RS,2026-09-16
40038515,AD,2026-09-16
40004714,RS,2026-09-16
30485337,FI,2026-09-16
40019575,RS,2026-09-16
40006083,RS,2026-09-16
40006083,RS,2026-09-16
40006083,RS,2026-09-16
30467433,RS,2026-09-16
30073030,RS,2026-09-16
20153304,FI,2026-09-16
30345076,RS,2026-09-16
30081138,RS,2026-09-16
30463675,FI,2026-09-16
30384722,RS,2026-09-16
30384722,RS,2026-09-16
30442127,RS,2026-09-16
30442127,RS,2026-09-16
30459418,FI,2026-09-16
40059794,RS,2026-09-16
40057641,AD,2026-09-16
40072091,FI,2026-09-16
40070172,AD,2026-09-16
40059375,RS,2026-09-16
30064321,RS,2026-09-16
20178168,RS,2026-09-16
30267380,RS,2026-09-16
20054441,RS,2026-09-16
30083093,RS,2026-09-16
30126159,RS,2026-09-16
20088311,RS,2026-09-16
30070275,OT,2026-09-16
30096349,OT,2026-09-16
30484502,RS,2026-09-16
40055736,FI,2026-09-16
30096407,RS,2026-09-16
20178214,RS,2026-09-16
40053038,FI,2026-09-16
40048281,RS,2026-09-16
40071126,RS,2026-09-16
40035371,FI,2026-09-16
40008405,RS,2026-09-16
30484483,RS,2026-09-16
30099413,FI,2026-09-16
40075864,OT,2026-09-16
30466033,RS,2026-09-16
40004758,FI,2026-09-16
30061964,RS,2026-09-16
40061063,OT,2026-09-16
40061063,OT,2026-09-16
40050304,AD,2026-09-16
30136315,RS,2026-09-16
40048275,RS,2026-09-16
40057423,AD,2026-09-16
30482321,RS,2026-09-16
30407522,FI,2026-09-16
40052889,RS,2026-09-16
40077338,RS,2026-09-16
40077338,RS,2026-09-16
40002869,RS,2026-09-16
40073101,RS,2026-09-16
30100226,RS,2026-09-16
40036755,AD,2026-09-16
40020021,RS,2026-09-16
40075064,AD,2026-09-16
40061646,AD,2026-09-16
30131841,RS,2026-09-16
30131841,RS,2026-09-16
40069145,RS,2026-09-16
40070834,RS,2026-09-16
40024424,RS,2026-09-16
30081385,RS,2026-09-16
30361046,RS,2026-09-16
30475049,RS,2026-09-16
30256122,FI,2026-09-16
40061778,RS,2026-09-16
30486050,RS,2026-09-16
40053774,FI,2026-09-16
40024103,RS,2026-09-16
40024103,RS,2026-09-16
40072436,FI,2026-09-16
40031093,RS,2026-09-16
40001791,RS,2026-09-16
40032580,RS,2026-09-16
30073603,OT,2026-09-16
40029986,FI,2026-09-16
40047436,AD,2026-09-16
40054665,FI,2026-09-16
40029205,RS,2026-09-16
40052101,OT,2026-09-16
30360375,RS,2026-09-16
40056899,AD,2026-09-16
30482320,RS,2026-09-16
40056699,RS,2026-09-16
30285772,RS,2026-09-16
40026929,RS,2026-09-16
30463592,RS,2026-09-16
40067087,AD,2026-09-16
40074969,RS,2026-09-16
40039178,RS,2026-09-16
40039178,RS,2026-09-16
40063089,AD,2026-09-16
40065081,RS,2026-09-16
40012734,RS,2026-09-16
50001177,FI,2026-09-16
40060716,AD,2026-09-16
40031094,FI,2026-09-16
40075084,RS,2026-09-16
40070786,RS,2026-09-16
40070786,RS,2026-09-16
30136983,RS,2026-09-16
40063249,AD,2026-09-16
40067462,RS,2026-09-16
30069841,RS,2026-09-16
40052499,RS,2026-09-16
40063248,RS,2026-09-16
30292973,OT,2026-09-16
40075376,OT,2026-09-16
40075376,OT,2026-09-16
40021944,FI,2026-09-16
40077464,OT,2026-09-16
40054663,RS,2026-09-16
40054663,RS,2026-09-16
40045677,FI,2026-09-16
40049461,RS,2026-09-16
